DateSpecimen,Cases,Recovered,Deaths
2020-01-23,1,1,0
2020-03-01,1,1,0
2020-03-03,1,1,0
2020-03-04,1,1,0
2020-03-05,3,2,1
2020-03-06,19,16,3
2020-03-07,53,49,3
2020-03-08,195,190,3
2020-03-09,522,515,7
2020-03-10,369,363,6
2020-03-11,531,525,6
2020-03-12,519,507,12
2020-03-13,68,52,16
2020-03-14,106,85,21
2020-03-15,105,88,17
2020-03-16,105,85,20
2020-03-17,105,85,20
2020-03-18,128,94,32
2020-03-19,132,97,35
2020-03-20,126,98,25
2020-03-21,122,92,28
2020-03-22,118,85,33
2020-03-23,177,138,38
2020-03-24,165,132,32
2020-03-25,166,129,35
2020-03-26,170,134,33
2020-03-27,198,158,40
2020-03-28,168,134,31
2020-03-29,134,112,22
2020-03-30,146,120,26
2020-03-31,169,142,24
2020-04-01,193,145,48
2020-04-02,239,200,38
2020-04-03,116,95,20
2020-04-04,132,110,21
2020-04-05,110,98,12
2020-04-06,194,172,21
2020-04-07,207,182,24
2020-04-08,357,336,20
2020-04-09,779,751,25
2020-04-10,399,375,23
2020-04-11,744,715,28
2020-04-12,595,570,24
2020-04-13,198,181,17
2020-04-14,166,147,18
2020-04-15,217,200,17
2020-04-16,190,174,15
2020-04-17,203,189,14
2020-04-18,107,99,8
2020-04-19,69,55,14
2020-04-20,267,256,10
2020-04-21,126,112,12
2020-04-22,231,222,9
2020-04-23,157,148,9
2020-04-24,215,207,6
2020-04-25,157,142,11
2020-04-26,94,85,7
2020-04-27,261,248,9
2020-04-28,315,302,11
2020-04-29,305,296,7
2020-04-30,634,619,14
2020-05-01,205,196,9
2020-05-02,95,90,5
2020-05-03,91,80,9
2020-05-04,323,314,9
2020-05-05,288,273,13
2020-05-06,322,297,24
2020-05-07,354,336,16
2020-05-08,391,380,10
2020-05-09,489,479,10
2020-05-10,769,758,10
2020-05-11,758,739,18
2020-05-12,505,490,14
2020-05-13,279,266,13
2020-05-14,319,308,10
2020-05-15,320,308,11
2020-05-16,170,161,9
2020-05-17,143,132,11
2020-05-18,291,282,9
2020-05-19,362,343,18
2020-05-20,456,433,22
2020-05-21,376,357,15
2020-05-22,380,369,10
2020-05-23,320,303,15
2020-05-24,199,182,17
